ChecklistId,Zone,ObjectType,TargetName,Priority,ApproxLocation,Status,AcceptanceCriteria,Notes
LRB_Z05_004,Collector Array,Blueprint,BP_RiftGoldBeamSpline,P0,"Hub to collector clusters",NotStarted,"Gold beams visibly connect hub/emitter nodes to collector cluster centers through fog.","Beam color stays gold/amber, not lava orange."
LRB_Z05_005,Collector Array,Traversal,Safe orb platform,P0,"X=11200 Y=-1200 Z=-2200",NotStarted,"Player reaches a platform near the apparatus without intersecting the energy volume.","Surface supports at least two beacon placement spots."
LRB_Z05_006,Collector Array,Mesh,SM_Rift_BeamEmitterNode_A,P0,"Along platform and frame",NotStarted,"3-5 beam emitter nodes anchor gold spline endpoints and read at player scale.","Warm endpoint glow should be localized."
LRB_Z05_007,Collector Array,Discovery,D_Anomaly_RiftEnergyOrb,P0,"Platform edge near orb",NotStarted,"Discovery actor scans the orb apparatus from the safe platform.","Set ScanFocusOffset high enough to target the orb center, approximately 0,0,300."
LRB_Z05_008,Collector Array,ObjectiveTrigger,OBJ_CollectorArray,P0,"X=11200 Y=-1200 Z=-2100",NotStarted,"Trigger advances when the player reaches the safe platform near the apparatus.","Suggested box 1200x1200x600 cm."
LRB_Z06_001,Ancient Gate,Mesh,SM_Rift_AncientWall_Gate_A,P0,"X=13500..16500, right side wall",NotStarted,"Monumental gate dominates the zone and reads as 80-140 m tall from player height.","This must match the reference image's right-side massing."
LRB_Z06_002,Ancient Gate,Lighting,Blue circular gate cores,P0,"Player-visible gate face",NotStarted,"At least one large circular blue core is visible from the player route.","Cores are secondary focal points, below the central orb in hierarchy."
LRB_Z06_003,Ancient Gate,Traversal,Gate bridge/platform route,P0,"Along gate wall",NotStarted,"A 6-8 m wide bridge or platform carries the player across/in front of the gate safely.","Gold beam spill should graze the wall surface."
LRB_Z06_004,Ancient Gate,Discovery,D_Structure_AncientGate,P0,"X=14800 Y=1200 Z=-2000",NotStarted,"Discovery actor scans the monumental gate from a clear route position.","Set ScanFocusOffset to approximately 0,0,400."
LRB_Z06_005,Ancient Gate,ObjectiveTrigger,OBJ_AncientGate,P0,"X=15800 Y=800 Z=-2000",NotStarted,"Trigger advances after the player commits to the gate crossing.","Suggested box 1000x1200x600 cm."
LRB_Z07_001,Second Sky Overlook,Mesh,Final overlook ledge,P0,"X=18500 Y=0 Z=-1600",NotStarted,"Final ledge frames the lower rift and supports a stable end-beat view.","Can reuse SM_Rift_ForegroundLedge_A or a bridge-edge variant."
LRB_Z07_002,Second Sky Overlook,Atmosphere,Second-horizon abyss,P0,"Ahead of final ledge",NotStarted,"Lower rift opens into a larger blue-lit void with no visible flat floor.","Use distant spires, hanging slabs, and fog layers."
LRB_Z07_003,Second Sky Overlook,Props,Optional survey camp,P2,"Behind final view",NotStarted,"Tiny human station props can sit behind the player without entering the main vista.","Only add after the primary composition is working."
LRB_Z07_004,Second Sky Overlook,Discovery,D_Anomaly_SecondSkyCavern,P0,"X=18500 Y=0 Z=-1450",NotStarted,"Scanning the final vista completes OBJ_SecondSkyOverlook through ObjectiveIdToCompleteOnScan.","Set bCompleteObjectiveOnlyOnNewDiscovery=true."
LRB_Z07_005,Second Sky Overlook,ObjectiveTrigger,OBJ_SecondSkyOverlook fallback,P1,"Near final ledge",NotStarted,"Fallback trigger exists only for early testing if scan completion is not wired yet.","Prefer scan completion for the final route beat."
LRB_GLOBAL_001,Global,Collision,Abyss edge blockers,P0,"All exposed route edges",NotStarted,"Prototype blockers prevent accidental falls until falling/respawn is implemented.","Hide blockers with low rock lips, curbs, or rubble."
LRB_GLOBAL_002,Global,Lighting,Orb primary light rig,P0,"Collector Array and visible from route",NotStarted,"Orb provides the dominant cool light source throughout the cavern.","Use hidden point/rect lights plus emissive; keep exposure controlled."
LRB_GLOBAL_003,Global,Atmosphere,Volumetric fog and depth silhouettes,P0,"Whole cavern",NotStarted,"Distant towers, slabs, and spires fade into blue atmospheric perspective.","First Overlook and Second Sky screenshots must show strong vertical depth."
LRB_GLOBAL_004,Global,Readability,Beacon placement surfaces,P1,"First Overlook, Approach, Galleries, Collector Array",NotStarted,"At least four obvious flat beacon surfaces exist along the route.","Surfaces should be useful for navigation, not just decorative."
