AssetName,Priority,ImportTargetPath,SourcePrompt,RequiredMaterialSlots,PivotCheck,CollisionCheck,NaniteOrLOD,PlacementZone,AcceptanceCheck,Status,Notes
SM_Rift_RockArch_A,P1,Content/ArtSourceExports/LuminousRift/SM_Rift_RockArch_A.fbx,Docs/AssetPrompts/LuminousRift/02_ForegroundLedge_RockFrame.md,"mat_wet_basalt; mat_crystal_blue",Placement-friendly base anchor documented,No collision unless reused near player route,Nanite recommended,First Overlook frame,Frames top or side of vista without flattening the composition,PromptReady,Primary reveal frame.
SM_Rift_RockArch_B,P1,Content/ArtSourceExports/LuminousRift/SM_Rift_RockArch_B.fbx,Docs/AssetPrompts/LuminousRift/02_ForegroundLedge_RockFrame.md,"mat_wet_basalt; mat_crystal_blue",Placement-friendly base anchor documented,No collision unless reused near player route,Nanite recommended,First Overlook / Second Sky Overlook frame,Broken alternate frame avoids repeated arch silhouette,PromptReady,Use for second vista or side occlusion.
SM_Rift_Overhang_A,P1,Content/ArtSourceExports/LuminousRift/SM_Rift_Overhang_A.fbx,Docs/AssetPrompts/LuminousRift/02_ForegroundLedge_RockFrame.md,"mat_wet_basalt; mat_crystal_blue",Ceiling or rear anchor documented,No collision for decorative ceiling placement,Nanite recommended,First Overlook / ceiling,Dark top-frame silhouette matches the core reference,PromptReady,Place above first reveal.
SM_Rift_Overhang_B,P1,Content/ArtSourceExports/LuminousRift/SM_Rift_Overhang_B.fbx,Docs/AssetPrompts/LuminousRift/02_ForegroundLedge_RockFrame.md,"mat_wet_basalt; mat_crystal_blue",Ceiling or rear anchor documented,No collision for decorative ceiling placement,Nanite recommended,First Overlook / ceiling,Jagged alternate creates strong negative space without blocking orb visibility,PromptReady,Use to tune screenshot composition.
SM_Rift_BridgeSpan_A,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_BridgeSpan_A.fbx,Docs/AssetPrompts/LuminousRift/03_BridgeSpanKit.md,"mat_ancient_machine_dark; mat_ancient_machine_edge_wear; mat_blue_emissive; mat_wet_basalt",Centerline top surface or start-edge snap point documented,Simple box or convex walkable collision,Nanite recommended,Abyssal Approach / Collector Array,Walkable slab reads ancient and heavy rather than modern catwalk,PromptReady,Verify top width supports 6-10 m route.
SM_Rift_BridgeSpan_B_Broken,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_BridgeSpan_B_Broken.fbx,Docs/AssetPrompts/LuminousRift/03_BridgeSpanKit.md,"mat_ancient_machine_dark; mat_ancient_machine_edge_wear; mat_blue_emissive; mat_wet_basalt",Centerline top surface or start-edge snap point documented,Simple collision only on intended walkable sections,Nanite recommended,Abyssal Approach,Broken silhouette leaves readable safe path and missing chunks,PromptReady,Use blockers if gaps are visual-only.
SM_Rift_PlatformNode_A,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_PlatformNode_A.fbx,Docs/AssetPrompts/LuminousRift/03_BridgeSpanKit.md,"mat_ancient_machine_dark; mat_ancient_machine_edge_wear; mat_blue_emissive",Top center at walkable floor level,Simple convex or box collision,Nanite recommended,Collector Array / Ancient Gate,Safe platform supports beacon placement and circular inset landmarking,PromptReady,Needs flat enough area for player testing.
SM_Rift_HexCollector_Tile_A,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_HexCollector_Tile_A.fbx,Docs/AssetPrompts/LuminousRift/04_HexCollectorPanels.md,"mat_gold_emissive; mat_collector_glass; mat_ancient_machine_dark",Tile center with normal facing outward,No collision unless reachable,Non-Nanite acceptable for translucent pane,Collector Array,Single tile has separate gold frame and frosted pane slots,PromptReady,Use to build or repair cluster layouts in Unreal if needed.
SM_Rift_HexCollector_Cluster_A,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_HexCollector_Cluster_A.fbx,Docs/AssetPrompts/LuminousRift/04_HexCollectorPanels.md,"mat_gold_emissive; mat_collector_glass; mat_ancient_machine_dark",Beam attachment center documented,No collision in first pass,Frames Nanite acceptable; panes non-Nanite,Collector Array,Flower-like cluster reads from First Overlook distance,PromptReady,Must accept gold beam endpoint placement.
SM_Rift_HexCollector_Cluster_B_Broken,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_HexCollector_Cluster_B_Broken.fbx,Docs/AssetPrompts/LuminousRift/04_HexCollectorPanels.md,"mat_gold_emissive; mat_collector_glass; mat_ancient_machine_dark",Beam attachment center documented,No collision in first pass,Frames Nanite acceptable; panes non-Nanite,Collector Array,Broken or dark panes prevent sterile symmetry while preserving collector identity,PromptReady,Use around the edges of the array.
SM_Rift_OrbFrame_A,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_OrbFrame_A.fbx,Docs/AssetPrompts/LuminousRift/05_OrbApparatus.md,"mat_ancient_machine_dark; mat_gold_emissive; mat_blue_emissive",Orb center origin,No collision in first pass,Nanite recommended,Collector Array,Frame supports a central 18-28 m orb without hiding its silhouette,PromptReady,Place with BP_RiftEnergyOrb proxy.
SM_Rift_OrbHub_A,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_OrbHub_A.fbx,Docs/AssetPrompts/LuminousRift/05_OrbApparatus.md,"mat_ancient_machine_dark; mat_gold_emissive; mat_blue_emissive",Hub center at orb/beam origin,No collision in first pass,Nanite recommended,Collector Array,Radial hub gives plausible beam anchor structure,PromptReady,Align with gold beam splines.
SM_Rift_BeamEmitterNode_A,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_BeamEmitterNode_A.fbx,Docs/AssetPrompts/LuminousRift/05_OrbApparatus.md,"mat_ancient_machine_dark; mat_gold_emissive",Beam connection point origin,No collision unless player-adjacent,Nanite recommended,Collector Array,Small endpoint device reads warm gold in fog,PromptReady,Pair with small warm point light in Unreal.
SM_Rift_AncientWall_Gate_A,P0,Content/ArtSourceExports/LuminousRift/SM_Rift_AncientWall_Gate_A.fbx,Docs/AssetPrompts/LuminousRift/06_AncientGateWall.md,"mat_ancient_machine_dark; mat_ancient_machine_edge_wear; mat_blue_emissive; mat_crystal_blue; mat_wet_basalt",Bottom center,Use Unreal blocking volumes instead of complex collision,Nanite recommended,Ancient Gate,Reads as 80-140 m right-side monument with circular blue cores,PromptReady,Second most important landmark after orb.
SM_Rift_CavernWall_Large_A,P1,Content/ArtSourceExports/LuminousRift/SM_Rift_CavernWall_Large_A.fbx,Docs/AssetPrompts/LuminousRift/07_BackgroundDepthKit.md,"mat_wet_basalt; mat_crystal_blue; mat_blue_emissive",Bottom center or lower rear corner documented,No collision for background placement,Nanite recommended,Cavern shell,Large wall creates vertical striated abyss frame without looking like a flat backdrop,PromptReady,Use with fog to layer depth.
SM_Rift_TowerSegment_A,P1,Content/ArtSourceExports/LuminousRift/SM_Rift_TowerSegment_A.fbx,Docs/AssetPrompts/LuminousRift/07_BackgroundDepthKit.md,"mat_ancient_machine_dark; mat_ancient_machine_edge_wear; mat_blue_emissive; mat_wet_basalt",Bottom center,No collision for distant placements,Nanite recommended,Background depth,Narrow eroded tower silhouette reads through blue fog,PromptReady,Use behind bridges and orb.
SM_Rift_TowerSegment_B,P1,Content/ArtSourceExports/LuminousRift/SM_Rift_TowerSegment_B.fbx,Docs/AssetPrompts/LuminousRift/07_BackgroundDepthKit.md,"mat_ancient_machine_dark; mat_ancient_machine_edge_wear; mat_blue_emissive; mat_wet_basalt",Bottom center,No collision for distant placements,Nanite recommended,Background depth,Wider stacked tower gives contrast to narrow tower variant,PromptReady,Good near gate background.
SM_Rift_TowerSegment_C,P1,Content/ArtSourceExports/LuminousRift/SM_Rift_TowerSegment_C.fbx,Docs/AssetPrompts/LuminousRift/07_BackgroundDepthKit.md,"mat_ancient_machine_dark; mat_ancient_machine_edge_wear; mat_blue_emissive; mat_wet_basalt",Bottom center,No collision for distant placements,Nanite recommended,Background depth,Broken-topped silhouette prevents repeated skyline,PromptReady,Use at far distances or partially occluded.
SM_Rift_HangingSlab_A,P1,Content/ArtSourceExports/LuminousRift/SM_Rift_HangingSlab_A.fbx,Docs/AssetPrompts/LuminousRift/07_BackgroundDepthKit.md,"mat_wet_basalt; mat_ancient_machine_dark; mat_blue_emissive",Ceiling or anchor side documented,No collision for background placements,Nanite recommended,Background depth,Broad suspended slab frames top or side of vista,PromptReady,Place high enough to avoid route blockage.
SM_Rift_HangingSlab_B,P1,Content/ArtSourceExports/LuminousRift/SM_Rift_HangingSlab_B.fbx,Docs/AssetPrompts/LuminousRift/07_BackgroundDepthKit.md,"mat_wet_basalt; mat_ancient_machine_dark; mat_blue_emissive",Ceiling or anchor side documented,No collision for background placements,Nanite recommended,Background depth,Long blade-like slab creates parallax and negative space,PromptReady,Useful above first overlook.
SM_Rift_HangingSlab_C,P1,Content/ArtSourceExports/LuminousRift/SM_Rift_HangingSlab_C.fbx,Docs/AssetPrompts/LuminousRift/07_BackgroundDepthKit.md,"mat_wet_basalt; mat_ancient_machine_dark; mat_blue_emissive",Ceiling or anchor side documented,No collision for background placements,Nanite recommended,Background depth,Chunky broken slab with machine fragments sells rock-architecture fusion,PromptReady,Use in midground for silhouette variety.
SM_Rift_DistantSpire_A,P1,Content/ArtSourceExports/LuminousRift/SM_Rift_DistantSpire_A.fbx,Docs/AssetPrompts/LuminousRift/07_BackgroundDepthKit.md,"mat_wet_basalt; mat_ancient_machine_dark; mat_blue_emissive",Base center,No collision,Nanite or simple LODs acceptable,Lower abyss,Far spire fades into blue fog and deepens the lower rift,PromptReady,Scale can be exaggerated for depth.
SM_Rift_DistantSpire_B,P1,Content/ArtSourceExports/LuminousRift/SM_Rift_DistantSpire_B.fbx,Docs/AssetPrompts/LuminousRift/07_BackgroundDepthKit.md,"mat_wet_basalt; mat_ancient_machine_dark; mat_blue_emissive",Base center,No collision,Nanite or simple LODs acceptable,Lower abyss,Alternate spire silhouette prevents cloned background repetition,PromptReady,Use at a different scale from variant A.
SM_Human_SurveyCrate_A,P1,Content/ArtSourceExports/LuminousRift/SM_Human_SurveyCrate_A.fbx,Docs/AssetPrompts/LuminousRift/08_HumanSurveyKit.md,"mat_human_equipment; mat_blue_emissive",Base center at floor contact,Simple box collision or no collision,Standard LODs; Nanite not required,Human scale props,Recent expedition crate reads small against cavern landmarks,PromptReady,Use near elevator and overlook scale marks.
SM_Human_PortableLamp_A,P1,Content/ArtSourceExports/LuminousRift/SM_Human_PortableLamp_A.fbx,Docs/AssetPrompts/LuminousRift/08_HumanSurveyKit.md,"mat_human_equipment; mat_blue_emissive",Base center at floor contact,Simple convex or no collision,Standard LODs; Nanite not required,Human scale props,Portable lamp gives local path readability without overpowering orb/crystals,PromptReady,Pair with weak white/amber point light only near route.
SM_Human_CableCoil_A,P1,Content/ArtSourceExports/LuminousRift/SM_Human_CableCoil_A.fbx,Docs/AssetPrompts/LuminousRift/08_HumanSurveyKit.md,"mat_human_equipment; mat_blue_emissive",Base center at floor contact,No collision or simple low convex collision,Standard LODs; Nanite not required,Human scale props,Cable coil reads as temporary human presence near ancient structures,PromptReady,Use as small dressing not as route blocker.
SM_Human_FieldConsole_A,P1,Content/ArtSourceExports/LuminousRift/SM_Human_FieldConsole_A.fbx,Docs/AssetPrompts/LuminousRift/08_HumanSurveyKit.md,"mat_human_equipment; mat_blue_emissive",Base center at floor contact,Simple box collision if player-adjacent,Standard LODs; Nanite not required,Human scale props,Small rugged console provides scale and scan/readout dressing,PromptReady,Keep screen glow subdued.
